Column1;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;choline;folate;folic_acid;niacin;pantothenic_acid;riboflavin;thiamin;vitamin_a;vitamin_a_rae;carotene_alpha;carotene_beta;cryptoxanthin_beta;lutein_zeaxanthin;lucopene;vitamin_b12;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;tocopherol_alpha;vitamin_k;calcium;copper;irom;magnesium;manganese;phosphorous;potassium;selenium;zink;protein;alanine;arginine;aspartic_acid;cystine;glutamic_acid;glycine;histidine;gluten;isoleucine;leucine;lysine;methionine;phenylalanine;proline;serine;threonine;tryptophan;tyrosine;valine;carbohydrate;fiber;sugars;fructose;galactose;glucose;lactose;maltose;sucrose;fat;saturated_fatty_acids;monounsaturated_fatty_acids;polyunsaturated_fatty_acids;fatty_acids_total_trans;alcohol;ash;caffeine;theobromine;water
0;Cornstarch;100 g;381;0.1g;;0;9.00 mg;0.4 mg;0.00 mcg;0.00 mcg;0.000 mg;0.000 mg;0.000 mg;0.000 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.000 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;2.00 mg;0.050 mg;0.47 mg;3.00 mg;0.053 mg;13.00 mg;3.00 mg;2.8 mcg;0.06 mg;0.26 g;0.019 g;0.012 g;0.020 g;0.006 g;0.053 g;0.009 g;0.008 g;1;0.010 g;0.036 g;0.006 g;0.006 g;0.013 g;0.024 g;0.012 g;0.009 g;0.001 g;0.010 g;0.014 g;91.27 g;0.9 g;0.00 g;0;0;0;0;0;0;0.05 g;0.009 g;0.016 g;0.025 g;0.00 mg;0.0 g;0.09 g;0.00 mg;0.00 mg;8.32 g
9;Vegetarian fillets;100 g;290;18g;2.8g;0;490.00 mg;82.0 mg;102.00 mcg;0.00 mcg;12.000 mg;0;0.900 mg;1.100 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;4.20 mcg;1.500 mg;0.0 mg;0.00 IU;3.45 mg;3.45 mg;0.0 mcg;95.00 mg;0.925 mg;2.00 mg;23.00 mg;0;450.00 mg;600.00 mg;1.0 mcg;1.40 mg;23.00 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9.00 g;6.1 g;0.80 g;0;0;0;0;0;0;18.00 g;2.849 g;4.376 g;9.332 g;0.00 mg;0.0 g;5.00 g;0.00 mg;0.00 mg;45.00 g
85;SILK Original Creamer;100 g;100;6.7g;;0;67.00 mg;0;0;0;0;0;0;0;0.00 IU;0;0;0;0;0;0;0;0;0.0 mg;0;0;0;0;0.00 mg;0;0.00 mg;0;0;0;0;0;0;0.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.67 g;0.0 g;0.00 g;0;0;0;0;0;0;6.67 g;0.000 g;0;0;0.00 mg;0;0.38 g;0;0;86.29 g
86;SILK Hazelnut Creamer;100 g;133;6.7g;;0;67.00 mg;0;0;0;0;0;0;0;0.00 IU;0;0;0;0;0;0;0;0;200.0 mg;0;0;0;0;0.00 mg;0;0.00 mg;0;0;0;0;0;0;0.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.00 g;0.0 g;20.00 g;0;0;0;0;0;0;6.67 g;0.000 g;0;0;0.00 mg;0;0.38 g;0;0;72.95 g
89;Bacon and beef sticks;100 g;517;44g;16g;102mg;1420.00 mg;0;2.00 mcg;0.00 mcg;4.867 mg;1.060 mg;0.285 mg;0.600 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;1.90 mcg;0.500 mg;0.0 mg;0;0;0;1.6 mcg;14.00 mg;0.080 mg;1.86 mg;17.00 mg;0.038 mg;142.00 mg;385.00 mg;26.1 mcg;3.23 mg;29.10 g;1.480 g;1.516 g;2.073 g;0.262 g;3.383 g;1.641 g;0.699 g;0;0.971 g;1.732 g;1.824 g;0.593 g;0.868 g;1.188 g;0.942 g;0.959 g;0.210 g;0.710 g;1.083 g;0.80 g;0.0 g;0.80 g;0;0;0;0;0;0;44.20 g;16.000 g;21.900 g;4.300 g;102.00 mg;0.0 g;4.30 g;0.00 mg;0.00 mg;21.60 g
99;Ham and cheese spread;100 g;245;19g;8.6g;61mg;1197.00 mg;0;3.00 mcg;0.00 mcg;2.153 mg;0.590 mg;0.220 mg;0.318 mg;304.00 IU;91.00 mcg;0;0;0;0;0;0.73 mcg;0.130 mg;0.0 mg;0;0;0;0;217.00 mg;0.090 mg;0.76 mg;18.00 mg;0.036 mg;495.00 mg;162.00 mg;33.6 mcg;2.25 mg;16.18 g;0.802 g;0.892 g;1.378 g;0.255 g;2.887 g;0.587 g;0.597 g;0;0.775 g;1.504 g;1.476 g;0.475 g;0.771 g;1.356 g;0.806 g;0.683 g;0.372 g;0.666 g;1.014 g;2.28 g;0.0 g;0;0;0;0;0;0;0;18.53 g;8.620 g;7.080 g;1.380 g;61.00 mg;0;3.90 g;0;0;59.13 g
104;Horned melon (Kiwano);100 g;44;1.3g;;0;2.00 mg;0;3.00 mcg;0.00 mcg;0.565 mg;0.183 mg;0.015 mg;0.025 mg;147.00 IU;7.00 mcg;0;88.00 mcg;0;0;0;0;0.063 mg;5.3 mg;0;0;0;0;13.00 mg;0.020 mg;1.13 mg;40.00 mg;0.039 mg;37.00 mg;123.00 mg;0;0.48 mg;1.78 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7.56 g;0;0;0;0;0;0;0;0;1.26 g;0;0;0;0;0;0.44 g;0;0;88.97 g
105;Ice cream sundae cone;100 g;254;14g;2.7g;15mg;115.00 mg;11.9 mg;19.00 mcg;14.00 mcg;1.111 mg;0.356 mg;0.213 mg;0.090 mg;410.00 IU;117.00 mcg;0.00 mcg;14.00 mcg;0.00 mcg;2.00 mcg;0;0.35 mcg;0.050 mg;0.0 mg;4.00 IU;0.11 mg;0.11 mg;0.5 mcg;60.00 mg;0.082 mg;0.36 mg;20.00 mg;0.087 mg;128.00 mg;204.00 mg;2.3 mcg;0.56 mg;3.00 g;0.026 g;0.029 g;0.034 g;0.019 g;0.295 g;0.029 g;0.018 g;0;0.031 g;0.058 g;0.016 g;0.015 g;0.041 g;0.099 g;0.041 g;0.022 g;0.010 g;0.023 g;0.035 g;28.89 g;1.0 g;21.26 g;0;0;0;0;0;0;14.00 g;2.717 g;1.775 g;0.747 g;15.00 mg;0.0 g;0.80 g;0.00 mg;2.00 mg;53.31 g
121;Potato salad with egg;100 g;157;9.4g;1.4g;17mg;329.00 mg;18.2 mg;13.00 mcg;0.00 mcg;0.800 mg;0.443 mg;0.017 mg;0.032 mg;163.00 IU;19.00 mcg;5.00 mcg;67.00 mcg;3.00 mcg;43.00 mcg;0;0.07 mcg;0.115 mg;0.8 mg;4.00 IU;0.68 mg;0.68 mg;14.3 mcg;15.00 mg;0.041 mg;0.50 mg;15.00 mg;0.112 mg;53.00 mg;242.00 mg;2.4 mcg;0.33 mg;1.96 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16.18 g;1.3 g;4.95 g;1.31 g;0.00 g;1.54 g;0.00 g;0.39 g;1.70 g;9.40 g;1.437 g;2.000 g;4.983 g;17.00 mg;0.0 g;1.47 g;0.00 mg;0.00 mg;70.99 g
129;SILK Peach soy yogurt;100 g;94;1.2g;;0;15.00 mg;0;0;0;0;0;0;0;0.00 IU;0;0;0;0;0;0;0;0;17.6 mg;0;0;0;0;176.00 mg;0;0.64 mg;0;0;0;0;0;0;2.35 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.82 g;0.6 g;14.71 g;0;0;0;0;0;0;1.18 g;0.000 g;0;0;0.00 mg;0;1.24 g;0;0;76.41 g
130;SILK Plain soy yogurt;100 g;66;1.8g;0.2g;0;13.00 mg;0;0;0;0;0;0;0;0.00 IU;0;0;0;0;0;0;0;0;13.2 mg;53.00 IU;0;0;0;132.00 mg;0;0;0;0;0;0;0;0;2.64 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.69 g;0.4 g;5.29 g;0;0;0;0;0;0;1.76 g;0.220 g;0;0;0.00 mg;0;1.24 g;0;0;84.67 g
132;Yeast extract spread;100 g;185;0.9g;;0;3380.00 mg;65.1 mg;3786.00 mcg;2993.00 mcg;127.500 mg;4.600 mg;17.500 mg;23.375 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.50 mcg;0.000 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;67.00 mg;0.245 mg;4.04 mg;180.00 mg;0.261 mg;104.00 mg;2100.00 mg;27.6 mcg;4.19 mg;23.88 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;20.42 g;6.5 g;1.60 g;0.00 g;0.00 g;0.00 g;0.00 g;1.60 g;0.00 g;0.90 g;0.000 g;0.000 g;0.000 g;0.00 mg;0.0 g;13.90 g;0.00 mg;0.00 mg;40.90 g
160;Barley flour or meal;100 g;345;1.6g;0.3g;0;4.00 mg;37.8 mg;8.00 mcg;0.00 mcg;6.269 mg;0.145 mg;0.114 mg;0.370 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;160.00 mcg;0;0.00 mcg;0.396 mg;0.0 mg;0.00 IU;0.57 mg;0.57 mg;2.2 mcg;32.00 mg;0.343 mg;2.68 mg;96.00 mg;1.034 mg;296.00 mg;309.00 mg;37.7 mcg;2.00 mg;10.50 g;0.409 g;0.526 g;0.655 g;0.232 g;2.741 g;0.380 g;0.236 g;1;0.383 g;0.713 g;0.391 g;0.202 g;0.589 g;1.247 g;0.443 g;0.356 g;0.175 g;0.301 g;0.515 g;74.52 g;10.1 g;0.80 g;0;0;0;0;0;0;1.60 g;0.335 g;0.205 g;0.771 g;0.00 mg;0.0 g;1.28 g;0.00 mg;0.00 mg;12.11 g
213;Soy protein isolate;100 g;335;3.4g;0.4g;0;1005.00 mg;190.9 mg;176.00 mcg;0.00 mcg;1.438 mg;0.060 mg;0.100 mg;0.176 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.100 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;178.00 mg;1.599 mg;14.50 mg;39.00 mg;1.493 mg;776.00 mg;81.00 mg;0.8 mcg;4.03 mg;88.32 g;3.589 g;6.670 g;10.203 g;1.046 g;17.452 g;3.603 g;2.303 g;0;4.253 g;6.783 g;5.327 g;1.130 g;4.593 g;4.960 g;4.593 g;3.137 g;1.116 g;3.222 g;4.098 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;3.39 g;0.422 g;0.645 g;1.648 g;0.00 mg;0.0 g;3.58 g;0.00 mg;0.00 mg;4.98 g
233;Milk and cereal bar;100 g;413;11g;9.1g;6mg;319.00 mg;31.0 mg;98.00 mcg;87.00 mcg;8.194 mg;0.495 mg;0.696 mg;0.615 mg;627.00 IU;188.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;2.00 mcg;0.819 mg;15.4 mg;68.00 IU;0.42 mg;0.42 mg;2.5 mcg;410.00 mg;0.049 mg;5.99 mg;21.00 mg;0.206 mg;155.00 mg;254.00 mg;7.7 mcg;0.84 mg;6.47 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.05 g;0.4 g;45.97 g;0;0;0;0;0;0;10.98 g;9.114 g;1.186 g;0.239 g;6.00 mg;0.0 g;1.76 g;0.00 mg;0.00 mg;8.69 g
250;Acorn stew (Apache);100 g;95;3.5g;1.3g;20mg;130.00 mg;0;33.00 mcg;15.00 mcg;2.140 mg;0.212 mg;0.125 mg;0.175 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.68 mcg;0.055 mg;0.0 mg;0;0.30 mg;0.30 mg;0.0 mcg;14.00 mg;0.030 mg;1.00 mg;12.00 mg;0.140 mg;62.00 mg;110.00 mg;8.3 mcg;1.60 mg;6.81 g;0.450 g;0.470 g;0.830 g;0.090 g;1.510 g;0.420 g;0.230 g;0;0.350 g;0.620 g;0.580 g;0.160 g;0.330 g;0.460 g;0.330 g;0.360 g;0.040 g;0.250 g;0.390 g;9.22 g;0.7 g;0.34 g;0.00 g;0.00 g;0.00 g;0.00 g;0.19 g;0.16 g;3.47 g;1.280 g;1.680 g;0.297 g;20.00 mg;0;0.72 g;0;0;79.78 g
269;Ice cream sandwich;100 g;237;8.6g;2.3g;21mg;129.00 mg;8.0 mg;34.00 mcg;27.00 mcg;1.566 mg;0.209 mg;0.146 mg;0.111 mg;286.00 IU;86.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;6.00 mcg;0;0.05 mcg;0.028 mg;0.0 mg;0.00 IU;0.40 mg;0.40 mg;1.3 mcg;86.00 mg;0.254 mg;0.26 mg;29.00 mg;0.381 mg;72.00 mg;115.00 mg;3.1 mcg;0.60 mg;4.29 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;37.14 g;0.0 g;18.57 g;0;0;0;0;0;0;8.57 g;2.317 g;2.661 g;2.272 g;21.00 mg;0.0 g;1.10 g;4.00 mg;122.00 mg;48.90 g
276;Jams and preserves;100 g;278;0.1g;;0;32.00 mg;10.2 mg;11.00 mcg;0.00 mcg;0.036 mg;0.020 mg;0.076 mg;0.016 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.020 mg;8.8 mg;0.00 IU;0.12 mg;0.12 mg;0.0 mcg;20.00 mg;0.100 mg;0.49 mg;4.00 mg;0.040 mg;19.00 mg;77.00 mg;2.0 mcg;0.06 mg;0.37 g;0.037 g;0.032 g;0.166 g;0.006 g;0.109 g;0.029 g;0.014 g;0;0.017 g;0.037 g;0.030 g;0.001 g;0.021 g;0.023 g;0.028 g;0.023 g;0.008 g;0.025 g;0.021 g;68.86 g;1.1 g;48.50 g;0;0;0;0;0;0;0.07 g;0.010 g;0.038 g;0.000 g;0.00 mg;0.0 g;0.23 g;0.00 mg;0.00 mg;30.47 g
326;Vital wheat gluten;100 g;370;1.9g;0.3g;0;29.00 mg;0;0.00 mcg;0.00 mcg;0.000 mg;0.000 mg;0.000 mg;0.000 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.000 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;142.00 mg;0.182 mg;5.20 mg;25.00 mg;0;260.00 mg;100.00 mg;39.7 mcg;0.85 mg;75.16 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13.79 g;0.6 g;0.00 g;0;0;0;0;0;0;1.85 g;0.272 g;0.156 g;0.810 g;0.00 mg;0.0 g;1.00 g;0.00 mg;0.00 mg;8.20 g
334;Liverwurst spread;100 g;305;25g;9.9g;118mg;700.00 mg;0;30.00 mcg;0.00 mcg;4.300 mg;2.950 mg;1.030 mg;0.272 mg;13636.00 IU;4091.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;13.46 mcg;0.190 mg;3.5 mg;0;0;0;0;22.00 mg;0.240 mg;8.85 mg;12.00 mg;0.155 mg;230.00 mg;170.00 mg;58.0 mcg;2.30 mg;12.38 g;0.830 g;0.812 g;1.164 g;0.149 g;2.195 g;1.096 g;0.448 g;0;0.653 g;1.139 g;1.155 g;0.285 g;0.617 g;0.850 g;0.694 g;0.671 g;0.151 g;0.362 g;0.857 g;5.89 g;2.5 g;1.65 g;0;0;0;0;0;0;25.45 g;9.925 g;12.286 g;2.427 g;118.00 mg;0.0 g;2.75 g;0.00 mg;0.00 mg;53.53 g
335;Roast beef spread;100 g;223;16g;6.4g;70mg;724.00 mg;0;8.00 mcg;0.00 mcg;4.200 mg;0;0.230 mg;0.020 mg;1.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;2.38 mcg;0.150 mg;0.2 mg;0;0;0;0;23.00 mg;0.101 mg;2.06 mg;24.00 mg;0;116.00 mg;259.00 mg;22.6 mcg;6.08 mg;15.27 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.73 g;0.2 g;0.71 g;0;0;0;0;0;0;16.28 g;6.400 g;5.587 g;0.427 g;70.00 mg;0.0 g;3.02 g;0.00 mg;0.00 mg;61.70 g
353;Barley malt flour;100 g;361;1.8g;0.4g;0;11.00 mg;0;38.00 mcg;0.00 mcg;5.636 mg;0.577 mg;0.308 mg;0.309 mg;19.00 IU;1.00 mcg;0.00 mcg;11.00 mcg;0.00 mcg;160.00 mcg;0;0.00 mcg;0.655 mg;0.6 mg;0.00 IU;0.57 mg;0.57 mg;2.2 mcg;37.00 mg;0.270 mg;4.71 mg;97.00 mg;1.193 mg;303.00 mg;224.00 mg;37.7 mcg;2.06 mg;10.28 g;0.516 g;0.836 g;0.776 g;0.157 g;1.825 g;0.440 g;0.275 g;0;0.361 g;0.746 g;0.535 g;0.294 g;0.225 g;1.123 g;0.465 g;0.407 g;0.132 g;0.341 g;0.503 g;78.30 g;7.1 g;0.80 g;0;0;0;0;0;0;1.84 g;0.386 g;0.254 g;0.953 g;0.00 mg;0.0 g;1.37 g;0.00 mg;0.00 mg;8.21 g
415;Tamales (Navajo);100 g;153;6.1g;2.4g;17mg;427.00 mg;0;15.00 mcg;0;1.590 mg;0.205 mg;0.080 mg;0.050 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.54 mcg;0.143 mg;1.7 mg;0;0.00 mg;0.00 mg;0;29.00 mg;0.063 mg;1.22 mg;22.00 mg;0.174 mg;99.00 mg;131.00 mg;6.0 mcg;1.48 mg;6.28 g;0.422 g;0.391 g;0.556 g;0.083 g;1.029 g;0.384 g;0.196 g;1;0.271 g;0.568 g;0.427 g;0.150 g;0.275 g;0.382 g;0.273 g;0.239 g;0.052 g;0.204 g;0.318 g;18.12 g;3.1 g;0.99 g;0.17 g;0.00 g;0.21 g;0.00 g;0.22 g;0.40 g;6.12 g;2.396 g;2.739 g;0.688 g;17.00 mg;0;1.37 g;0;0;68.10 g
437;Ham salad spread;100 g;216;16g;5g;37mg;1075.00 mg;69.0 mg;1.00 mcg;0.00 mcg;2.095 mg;0.310 mg;0.120 mg;0.435 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.76 mcg;0.150 mg;0.0 mg;26.00 IU;1.74 mg;1.74 mg;0.0 mcg;8.00 mg;0.070 mg;0.59 mg;10.00 mg;0.013 mg;120.00 mg;150.00 mg;17.8 mcg;1.10 mg;8.68 g;0.536 g;0.593 g;0.856 g;0.051 g;1.349 g;0.486 g;0.350 g;0;0.403 g;0.725 g;0.772 g;0.228 g;0.354 g;0.401 g;0.376 g;0.409 g;0.089 g;0.278 g;0.448 g;10.64 g;0.0 g;0.00 g;0;0;0;0;0;0;15.53 g;5.049 g;7.171 g;2.689 g;37.00 mg;0.0 g;2.55 g;0.00 mg;0.00 mg;62.60 g
453;Potato pancakes;100 g;268;15g;2.5g;95mg;764.00 mg;74.2 mg;41.00 mcg;6.00 mcg;1.672 mg;0.757 mg;0.173 mg;0.158 mg;113.00 IU;32.00 mcg;0.00 mcg;4.00 mcg;2.00 mcg;87.00 mcg;0;0.29 mcg;0.448 mg;27.6 mg;11.00 IU;0.23 mg;0.23 mg;2.7 mcg;32.00 mg;0.180 mg;1.67 mg;36.00 mg;0.260 mg;128.00 mg;622.00 mg;8.9 mcg;0.70 mg;6.08 g;0.267 g;0.342 g;1.011 g;0.105 g;1.007 g;0.198 g;0.141 g;0;0.280 g;0.442 g;0.389 g;0.137 g;0.300 g;0.261 g;0.362 g;0.240 g;0.087 g;0.230 g;0.369 g;27.81 g;3.3 g;1.79 g;0.56 g;0.03 g;0.76 g;0.03 g;0.03 g;0.39 g;14.76 g;2.496 g;3.730 g;7.516 g;95.00 mg;0.0 g;3.59 g;0.00 mg;0.00 mg;47.77 g
454;Spinach souffle;100 g;172;13g;6.1g;118mg;566.00 mg;61.0 mg;73.00 mcg;6.00 mcg;0.479 mg;0.438 mg;0.263 mg;0.082 mg;2891.00 IU;244.00 mcg;3.00 mcg;1493.00 mcg;2.00 mcg;3249.00 mcg;0;0.40 mcg;0.098 mg;7.3 mg;31.00 IU;0.93 mg;0.93 mg;126.5 mcg;165.00 mg;0.059 mg;1.19 mg;30.00 mg;0.269 mg;139.00 mg;231.00 mg;11.1 mcg;0.85 mg;7.89 g;0.323 g;0.366 g;0.627 g;0.095 g;1.556 g;0.216 g;0.229 g;1;0.450 g;0.708 g;0.558 g;0.207 g;0.406 g;0.646 g;0.467 g;0.308 g;0.108 g;0.350 g;0.505 g;5.90 g;0.7 g;1.85 g;0.05 g;0.04 g;0.08 g;1.51 g;0.03 g;0.06 g;12.95 g;6.091 g;3.021 g;0.610 g;118.00 mg;0.0 g;2.52 g;0.00 mg;0.00 mg;70.73 g
