Column1;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;choline;folate;folic_acid;niacin;pantothenic_acid;riboflavin;thiamin;vitamin_a;vitamin_a_rae;carotene_alpha;carotene_beta;cryptoxanthin_beta;lutein_zeaxanthin;lucopene;vitamin_b12;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;tocopherol_alpha;vitamin_k;calcium;copper;irom;magnesium;manganese;phosphorous;potassium;selenium;zink;protein;alanine;arginine;aspartic_acid;cystine;glutamic_acid;glycine;histidine;gluten;isoleucine;leucine;lysine;methionine;phenylalanine;proline;serine;threonine;tryptophan;tyrosine;valine;carbohydrate;fiber;sugars;fructose;galactose;glucose;lactose;maltose;sucrose;fat;saturated_fatty_acids;monounsaturated_fatty_acids;polyunsaturated_fatty_acids;fatty_acids_total_trans;alcohol;ash;caffeine;theobromine;water
470;Arrowroot flour;100 g;357;0.1g;;0;2.00 mg;0;7.00 mcg;0.00 mcg;0.000 mg;0.130 mg;0.000 mg;0.001 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.00 mcg;0.005 mg;0.0 mg;0.00 IU;0;0;0;40.00 mg;0.040 mg;0.33 mg;3.00 mg;0.470 mg;5.00 mg;11.00 mg;0;0.07 mg;0.30 g;0.014 g;0.012 g;0.047 g;0.006 g;0.050 g;0.014 g;0.004 g;1;0.010 g;0.019 g;0.013 g;0.006 g;0.012 g;0.009 g;0.013 g;0.012 g;0.004 g;0.009 g;0.014 g;88.15 g;3.4 g;0;0;0;0;0;0;0;0.10 g;0.019 g;0.002 g;0.045 g;0.00 mg;0;0.08 g;0;0;11.37 g
475;Vanilla extract;100 g;288;0.1g;;0;9.00 mg;0;0.00 mcg;0.00 mcg;0.425 mg;0.035 mg;0.095 mg;0.011 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.026 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;11.00 mg;0.072 mg;0.12 mg;12.00 mg;0.230 mg;6.00 mg;148.00 mg;0.0 mcg;0.11 mg;0.06 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.65 g;0.0 g;12.65 g;0;0;0;0;0;0;0.06 g;0.010 g;0.010 g;0.004 g;0.00 mg;34.4 g;0.26 g;0.00 mg;0.00 mg;52.58 g
511;Dulce de Leche;100 g;315;7.4g;4.5g;29mg;129.00 mg;89.1 mg;11.00 mcg;0.00 mcg;0.210 mg;0.835 mg;0.405 mg;0.016 mg;267.00 IU;74.00 mcg;0.00 mcg;14.00 mcg;0.00 mcg;0.00 mcg;0;0.31 mcg;0.016 mg;2.6 mg;6.00 IU;0.20 mg;0.20 mg;1.3 mcg;251.00 mg;0.004 mg;0.17 mg;22.00 mg;0.002 mg;193.00 mg;350.00 mg;2.7 mcg;0.79 mg;6.84 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;55.35 g;0.0 g;49.74 g;0.32 g;1.03 g;1.70 g;4.92 g;0.00 g;41.77 g;7.35 g;4.534 g;2.143 g;0.375 g;29.00 mg;0.0 g;1.74 g;0.00 mg;0.00 mg;28.71 g
515;Chicken spread;100 g;158;18g;3.2g;56mg;722.00 mg;0;3.00 mcg;0.00 mcg;2.748 mg;0.430 mg;0.114 mg;0.009 mg;99.00 IU;30.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.13 mcg;0.150 mg;0.0 mg;0;0;0;0;16.00 mg;0.040 mg;0.87 mg;12.00 mg;0.012 mg;89.00 mg;106.00 mg;10.8 mcg;1.15 mg;18.01 g;1.037 g;1.117 g;1.580 g;0.237 g;2.586 g;1.166 g;0.517 g;0;0.879 g;1.286 g;1.438 g;0.469 g;0.687 g;0.868 g;0.626 g;0.730 g;0.197 g;0.568 g;0.859 g;4.05 g;0.3 g;0.47 g;0;0;0;0;0;0;17.56 g;3.230 g;4.800 g;2.350 g;56.00 mg;0.0 g;2.97 g;0.00 mg;0.00 mg;57.41 g
535;Candied fruit;100 g;322;0.1g;;0;98.00 mg;2.2 mg;0.00 mcg;0.00 mcg;0.000 mg;0;0.000 mg;0.000 mg;19.00 IU;1.00 mcg;0.00 mcg;9.00 mcg;5.00 mcg;11.00 mcg;0;0.00 mcg;0.000 mg;0.0 mg;0.00 IU;0.04 mg;0.04 mg;0.3 mcg;18.00 mg;0.029 mg;0.17 mg;4.00 mg;0.111 mg;5.00 mg;56.00 mg;0.6 mcg;0.05 mg;0.34 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;82.74 g;1.6 g;80.68 g;0;0;0;0;0;0;0.07 g;0.010 g;0.008 g;0.020 g;0.00 mg;0.0 g;0.14 g;0.00 mg;0.00 mg;16.70 g
537;Blood sausage;100 g;379;35g;13g;120mg;680.00 mg;72.8 mg;5.00 mcg;0.00 mcg;1.200 mg;0.600 mg;0.130 mg;0.070 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;1.00 mcg;0.040 mg;0.0 mg;52.00 IU;0.13 mg;0.13 mg;0.0 mcg;6.00 mg;0.040 mg;6.40 mg;8.00 mg;0.010 mg;22.00 mg;38.00 mg;15.5 mcg;1.30 mg;14.60 g;1.050 g;0.680 g;1.350 g;0.180 g;2.120 g;0.910 g;0.710 g;1;0.320 g;1.390 g;1.050 g;0.200 g;0.820 g;1.000 g;0.680 g;0.570 g;0.180 g;0.340 g;1.020 g;1.29 g;0.0 g;1.29 g;0;0;0;0;0;1.30 g;34.50 g;13.400 g;15.900 g;3.460 g;120.00 mg;0.0 g;2.31 g;0.00 mg;0.00 mg;47.30 g
542;Meat extender;100 g;311;3g;0.4g;0;10.00 mg;0;198.00 mcg;0.00 mcg;22.021 mg;1.492 mg;0.891 mg;0.702 mg;32.00 IU;2.00 mcg;0;0;0;0;0;6.00 mcg;1.336 mg;0.0 mg;0.00 IU;0;0;0;204.00 mg;0.304 mg;11.99 mg;216.00 mg;0.271 mg;639.00 mg;1902.00 mg;7.4 mcg;2.21 mg;41.71 g;1.755 g;3.123 g;4.745 g;0.627 g;8.668 g;1.688 g;1.068 g;0;1.995 g;3.263 g;2.596 g;0.520 g;2.182 g;2.296 g;2.235 g;1.615 g;0.574 g;1.428 g;2.115 g;34.71 g;17.5 g;0;0;0;0;0;0;0;2.97 g;0.424 g;0.648 g;1.657 g;0.00 mg;0;13.13 g;0;0;7.48 g
544;Sorghum grain;100 g;329;3.5g;0.6g;0;2.00 mg;0;20.00 mcg;0.00 mcg;3.688 mg;0.367 mg;0.096 mg;0.332 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.00 mcg;0.443 mg;0.0 mg;0.00 IU;0.50 mg;0.50 mg;0;13.00 mg;0.284 mg;3.36 mg;165.00 mg;1.605 mg;289.00 mg;363.00 mg;12.2 mcg;1.67 mg;10.62 g;1.033 g;0.355 g;0.743 g;0.127 g;2.439 g;0.346 g;0.246 g;0;0.433 g;1.491 g;0.229 g;0.169 g;0.546 g;0.852 g;0.462 g;0.346 g;0.124 g;0.321 g;0.561 g;72.09 g;6.7 g;2.53 g;0;0;0;0;0;0;3.46 g;0.610 g;1.131 g;1.558 g;0.00 mg;0;1.43 g;0;0;12.40 g
555;Rice crackers;100 g;416;5g;;0;233.00 mg;33.4 mg;22.00 mcg;0.00 mcg;5.537 mg;1.624 mg;0.101 mg;0.436 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.554 mg;0.0 mg;0.00 IU;1.26 mg;1.26 mg;2.1 mcg;0.00 mg;0.301 mg;0.00 mg;156.00 mg;4.071 mg;362.00 mg;243.00 mg;25.5 mcg;2.20 mg;10.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.64 g;0.0 g;0.00 g;0;0;0;0;0;0;5.00 g;0.000 g;3.021 g;1.641 g;0.00 mg;0.0 g;2.24 g;0.00 mg;0.00 mg;0.11 g
568;Tomato powder;100 g;302;0.4g;0.1g;0;134.00 mg;0;120.00 mcg;0.00 mcg;9.133 mg;3.760 mg;0.761 mg;0.913 mg;17247.00 IU;862.00 mcg;0.00 mcg;10348.00 mcg;0.00 mcg;1370.00 mcg;0;0.00 mcg;0.457 mg;116.7 mg;0.00 IU;12.25 mg;12.25 mg;48.8 mcg;166.00 mg;1.241 mg;4.56 mg;178.00 mg;1.951 mg;295.00 mg;1927.00 mg;5.3 mcg;1.71 mg;12.91 g;0.405 g;0.258 g;1.617 g;0.076 g;5.163 g;0.213 g;0.204 g;0;0.250 g;0.359 g;0.370 g;0.066 g;0.273 g;0.283 g;0.308 g;0.295 g;0.089 g;0.173 g;0.264 g;74.68 g;16.5 g;43.90 g;0;0;0;0;0;0;0.44 g;0.062 g;0.066 g;0.179 g;0.00 mg;0.0 g;8.91 g;0;0;3.06 g
594;Cracker meal;100 g;383;1.7g;0.3g;0;16.00 mg;19.6 mg;136.00 mcg;114.00 mcg;5.707 mg;0.467 mg;0.468 mg;0.696 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;76.00 mcg;0;0.00 mcg;0.039 mg;0.0 mg;0.00 IU;0.43 mg;0.43 mg;0.3 mcg;23.00 mg;0.225 mg;4.64 mg;24.00 mg;0.944 mg;104.00 mg;115.00 mg;42.3 mcg;0.69 mg;9.30 g;0.282 g;0.321 g;0.373 g;0.208 g;3.241 g;0.316 g;0.196 g;0;0.342 g;0.639 g;0.179 g;0.162 g;0.456 g;1.087 g;0.448 g;0.247 g;0.107 g;0.253 g;0.388 g;80.90 g;2.6 g;0.33 g;0;0;0;0;0;0;1.70 g;0.271 g;0.152 g;0.722 g;0.00 mg;0.0 g;0.60 g;0.00 mg;0.00 mg;7.60 g
600;Millet flour;100 g;382;4.3g;0.5g;0;4.00 mg;0;42.00 mcg;0.00 mcg;6.020 mg;1.267 mg;0.073 mg;0.413 mg;0;0;0;0;0;0;0;0;0.372 mg;0.0 mg;0;0.11 mg;0.11 mg;0.8 mcg;14.00 mg;0.535 mg;3.94 mg;119.00 mg;1.002 mg;285.00 mg;224.00 mg;32.7 mcg;2.63 mg;10.75 g;1.282 g;0.370 g;0.710 g;0.178 g;2.599 g;0.271 g;0.257 g;0;0.473 g;1.537 g;0.144 g;0.319 g;0.675 g;0.911 g;0.782 g;0.354 g;0.170 g;0.326 g;0.584 g;75.12 g;3.5 g;1.66 g;0.00 g;0.00 g;1.26 g;0.00 g;0.11 g;0.30 g;4.25 g;0.536 g;0.924 g;2.618 g;0;0;1.21 g;0;0;8.67 g
602;Potato flour;100 g;357;0.3g;0.1g;0;55.00 mg;39.5 mg;25.00 mcg;0.00 mcg;3.507 mg;0.474 mg;0.051 mg;0.228 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.769 mg;3.8 mg;0.00 IU;0.25 mg;0.25 mg;0.0 mcg;65.00 mg;0.197 mg;1.38 mg;65.00 mg;0.313 mg;168.00 mg;1001.00 mg;1.1 mcg;0.54 mg;6.90 g;0.328 g;0.374 g;1.173 g;0.070 g;0.932 g;0.256 g;0.166 g;1;0.299 g;0.425 g;0.413 g;0.107 g;0.316 g;0.265 g;0.234 g;0.280 g;0.115 g;0.224 g;0.356 g;83.10 g;5.9 g;3.52 g;0;0;0;0;0;0;0.34 g;0.090 g;0.008 g;0.150 g;0.00 mg;0.0 g;3.14 g;0.00 mg;0.00 mg;6.52 g
608;Phyllo dough;100 g;299;6g;1.5g;0;483.00 mg;6.9 mg;88.00 mcg;70.00 mcg;4.073 mg;0.302 mg;0.341 mg;0.541 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;11.00 mcg;0;0.00 mcg;0.030 mg;0.0 mg;0.00 IU;0.08 mg;0.08 mg;2.5 mcg;11.00 mg;0.101 mg;3.21 mg;15.00 mg;0.476 mg;75.00 mg;74.00 mg;23.3 mcg;0.49 mg;7.10 g;0.229 g;0.288 g;0.300 g;0.151 g;2.400 g;0.256 g;0.159 g;0;0.246 g;0.490 g;0.158 g;0.126 g;0.359 g;0.826 g;0.356 g;0.194 g;0.088 g;0.215 g;0.286 g;52.60 g;1.9 g;0.18 g;0;0;0;0;0;0;6.00 g;1.470 g;3.149 g;0.923 g;0.00 mg;0.0 g;1.60 g;0.00 mg;0.00 mg;32.60 g
615;Fruit syrup;100 g;341;0g;;0;0.00 mg;0.2 mg;0.00 mcg;0.00 mcg;0.012 mg;0.010 mg;0.012 mg;0.033 mg;2.00 IU;0.00 mcg;0.00 mcg;1.00 mcg;0.00 mcg;1.00 mcg;0;0.00 mcg;0.001 mg;1.6 mg;0.00 IU;0.01 mg;0.01 mg;0.1 mcg;8.00 mg;0.018 mg;0.04 mg;1.00 mg;0.061 mg;0.00 mg;7.00 mg;0.8 mcg;0.26 mg;0.00 g;0.000 g;0.000 g;0.002 g;0.000 g;0.002 g;0.000 g;0.000 g;1;0.000 g;0.001 g;0.000 g;0.000 g;0.000 g;0.000 g;0.000 g;0.000 g;0.000 g;0.000 g;0.000 g;85.13 g;0.1 g;53.00 g;0;0;0;0;0;0;0.00 g;0.000 g;0.000 g;0.000 g;0.00 mg;0.0 g;0.13 g;0.00 mg;0.00 mg;14.74 g
617;Carob flour;100 g;222;0.7g;0.1g;0;35.00 mg;11.9 mg;29.00 mcg;0.00 mcg;1.897 mg;0.047 mg;0.461 mg;0.053 mg;14.00 IU;1.00 mcg;0.00 mcg;8.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.366 mg;0.2 mg;0.00 IU;0.63 mg;0.63 mg;0.0 mcg;348.00 mg;0.571 mg;2.94 mg;54.00 mg;0.508 mg;79.00 mg;827.00 mg;5.3 mcg;0.92 mg;4.62 g;0.584 g;0.130 g;0.503 g;0.029 g;0.362 g;0.267 g;0.122 g;1;0.209 g;0.442 g;0.196 g;0.081 g;0.151 g;0.354 g;0.304 g;0.271 g;0.048 g;0.120 g;0.446 g;88.88 g;39.8 g;49.08 g;0;0;0;0;0;0;0.65 g;0.090 g;0.197 g;0.216 g;0.00 mg;0.0 g;2.27 g;0.00 mg;0.00 mg;3.58 g
618;Prune puree;100 g;257;0.2g;;0;23.00 mg;0;0;0;2.500 mg;0.430 mg;0;0.040 mg;2000.00 IU;100.00 mcg;0;0;0;0;0;0;0;4.3 mg;0;0;0;0;31.00 mg;0;2.80 mg;0;0;72.00 mg;852.00 mg;0;0;2.10 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;65.10 g;3.3 g;39.00 g;13.87 g;0;22.27 g;0;0;0;0.20 g;0.016 g;0;0;0.00 mg;0;2.60 g;0;0;30.00 g
620;Chewing gum;100 g;360;0.3g;;0;1.00 mg;0.0 mg;0.00 mcg;0.00 mcg;0.000 mg;0.000 mg;0.000 mg;0.000 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.000 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;0.00 mg;0.000 mg;0.00 mg;0.00 mg;0.000 mg;0.00 mg;2.00 mg;0.6 mcg;0.00 mg;0.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96.70 g;2.4 g;66.08 g;0;0;0;0;0;0;0.30 g;0.042 g;0.079 g;0.137 g;0.00 mg;0.0 g;0.40 g;0.00 mg;0.00 mg;2.60 g
627;Tofu yogurt;100 g;94;1.8g;0.3g;0;35.00 mg;48.4 mg;6.00 mcg;0.00 mcg;0.240 mg;0;0.020 mg;0.060 mg;33.00 IU;2.00 mcg;0.00 mcg;20.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.020 mg;2.5 mg;0.00 IU;0.31 mg;0.31 mg;3.5 mcg;118.00 mg;0.075 mg;1.06 mg;40.00 mg;0;38.00 mg;47.00 mg;13.0 mcg;0.31 mg;3.50 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.96 g;0.2 g;1.24 g;0;0;0;0;0;0;1.80 g;0.259 g;0.400 g;1.017 g;0.00 mg;0.0 g;1.24 g;0.00 mg;0.00 mg;77.50 g
640;Clif Z bar;100 g;409;9.7g;2.7g;0;375.00 mg;22.5 mg;20.00 mcg;0.00 mcg;0.478 mg;0.588 mg;0.100 mg;0.411 mg;7.00 IU;0.00 mcg;0.00 mcg;4.00 mcg;0.00 mcg;61.00 mcg;0;0.00 mcg;0.073 mg;39.1 mg;0.00 IU;0.98 mg;0.98 mg;8.7 mcg;444.00 mg;0.187 mg;2.70 mg;82.00 mg;1.748 mg;244.00 mg;333.00 mg;14.8 mcg;1.15 mg;5.55 g;0.278 g;0.420 g;0.515 g;0.179 g;1.198 g;0.305 g;0.131 g;0;0.216 g;0.432 g;0.242 g;0.107 g;0.287 g;0.311 g;0.282 g;0.164 g;0.105 g;0.208 g;0.307 g;74.72 g;8.3 g;30.56 g;0;0;0;0;0;0;9.72 g;2.721 g;2.447 g;3.319 g;0.00 mg;0.0 g;2.26 g;1.00 mg;9.00 mg;7.74 g
641;Fish broth;100 g;16;0.6g;0.1g;0;318.00 mg;9.2 mg;4.00 mcg;0.00 mcg;1.370 mg;0;0.030 mg;0.000 mg;4.00 IU;1.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.10 mcg;0.010 mg;0.0 mg;0.00 IU;0.15 mg;0.15 mg;0.2 mcg;30.00 mg;0.051 mg;0.21 mg;1.00 mg;0;30.00 mg;86.00 mg;0.7 mcg;0.10 mg;2.00 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.40 g;0.0 g;0.09 g;0;0;0;0;0;0;0.60 g;0.133 g;0.108 g;0.245 g;0.00 mg;0.0 g;0.97 g;0.00 mg;0.00 mg;96.00 g
652;Buckwheat;100 g;343;3.4g;0.7g;0;1.00 mg;0;30.00 mcg;0.00 mcg;7.020 mg;1.233 mg;0.425 mg;0.101 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.00 mcg;0.210 mg;0.0 mg;0.00 IU;0;0;0;18.00 mg;1.100 mg;2.20 mg;231.00 mg;1.300 mg;347.00 mg;460.00 mg;8.3 mcg;2.40 mg;13.25 g;0.748 g;0.982 g;1.133 g;0.229 g;2.046 g;1.031 g;0.309 g;1;0.498 g;0.832 g;0.672 g;0.172 g;0.520 g;0.507 g;0.685 g;0.506 g;0.192 g;0.241 g;0.678 g;71.50 g;10.0 g;0;0;0;0;0;0;0;3.40 g;0.741 g;1.040 g;1.039 g;0.00 mg;0.0 g;2.10 g;0;0;9.75 g
655;Triticale;100 g;336;2.1g;0.4g;0;5.00 mg;0;73.00 mcg;0.00 mcg;1.430 mg;1.323 mg;0.134 mg;0.416 mg;0.00 IU;0.00 mcg;0;0;0;0;0;0.00 mcg;0.138 mg;0.0 mg;0.00 IU;0.90 mg;0.90 mg;0;37.00 mg;0.457 mg;2.57 mg;130.00 mg;3.210 mg;358.00 mg;332.00 mg;0;3.45 mg;13.05 g;0.486 g;0.671 g;0.785 g;0.275 g;4.006 g;0.559 g;0.311 g;1;0.479 g;0.911 g;0.365 g;0.204 g;0.638 g;1.184 g;0.593 g;0.405 g;0.157 g;0.383 g;0.609 g;72.13 g;0;0;0;0;0;0;0;0;2.09 g;0.366 g;0.211 g;0.913 g;0.00 mg;0;2.23 g;0;0;10.51 g
656;Rye grain;100 g;338;1.6g;0.2g;0;2.00 mg;30.4 mg;38.00 mcg;0.00 mcg;4.270 mg;1.456 mg;0.251 mg;0.316 mg;11.00 IU;1.00 mcg;0.00 mcg;7.00 mcg;0.00 mcg;210.00 mcg;0;0.00 mcg;0.294 mg;0.0 mg;0.00 IU;0.85 mg;0.85 mg;5.9 mcg;24.00 mg;0.367 mg;2.63 mg;110.00 mg;2.577 mg;332.00 mg;510.00 mg;13.9 mcg;2.65 mg;10.34 g;0.405 g;0.454 g;0.560 g;0;2.294 g;0.416 g;0.189 g;0;0.208 g;0.563 g;0.286 g;0.153 g;0.435 g;0.804 g;0.458 g;0.289 g;0.108 g;0.200 g;0.317 g;75.86 g;15.1 g;0.98 g;0.11 g;0.00 g;0.16 g;0.00 g;0.00 g;0.71 g;1.63 g;0.197 g;0.208 g;0.767 g;0.00 mg;0.0 g;1.57 g;0.00 mg;0.00 mg;10.60 g
663;Molasses;100 g;290;0.1g;;0;37.00 mg;13.3 mg;0.00 mcg;0.00 mcg;0.930 mg;0.804 mg;0.002 mg;0.041 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.670 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;205.00 mg;0.487 mg;4.72 mg;242.00 mg;1.530 mg;31.00 mg;1464.00 mg;17.8 mcg;0.29 mg;0.00 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;74.73 g;0.0 g;74.72 g;12.79 g;0;11.92 g;0;0;29.40 g;0.10 g;0.018 g;0.032 g;0.050 g;0.00 mg;0.0 g;3.30 g;0.00 mg;0.00 mg;21.87 g
664;Zwieback;100 g;426;9.7g;2.5g;8mg;227.00 mg;10.7 mg;87.00 mcg;67.00 mcg;1.319 mg;0.537 mg;0.239 mg;0.208 mg;58.00 IU;16.00 mcg;0.00 mcg;4.00 mcg;1.00 mcg;16.00 mcg;0;0.00 mcg;0.082 mg;5.3 mg;0.00 IU;2.44 mg;2.44 mg;0.9 mcg;20.00 mg;0.145 mg;0.60 mg;14.00 mg;0;55.00 mg;305.00 mg;28.7 mcg;0.54 mg;10.10 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;74.20 g;2.5 g;12.50 g;0;0;0;0;0;0;9.70 g;2.525 g;4.244 g;2.073 g;8.00 mg;0.0 g;1.50 g;0.00 mg;0.00 mg;4.50 g
667;Jellies;100 g;266;0g;;0;30.00 mg;10.3 mg;2.00 mcg;0.00 mcg;0.036 mg;0.197 mg;0.026 mg;0.001 mg;5.00 IU;0.00 mcg;0.00 mcg;3.00 mcg;0.00 mcg;22.00 mcg;0;0.00 mcg;0.020 mg;0.9 mg;0.00 IU;0.00 mg;0.00 mg;0.3 mcg;7.00 mg;0.011 mg;0.19 mg;6.00 mg;0.132 mg;6.00 mg;54.00 mg;0.4 mcg;0.03 mg;0.15 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;69.95 g;1.0 g;51.22 g;0;0;0;0;0;0;0.02 g;0.005 g;0.001 g;0.004 g;0.00 mg;0.0 g;0.12 g;0.00 mg;0.00 mg;29.77 g
